InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536395,21730,GLASS STAR FROSTED T-LIGHT HOLDER,39,05/13/2011 12:00,4.25,UK1004,United Kingdom
536395,22752,SET 7 BABUSHKA NESTING BOXES,1,05/13/2011 12:00,7.65,UK1004,United Kingdom
536396,84029E,RED WOOLLY HOTTIE WHITE HEART,34,03/29/2011 11:00,3.39,UK1031,United Kingdom
536397,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,40,06-08-2011 15:00,3.75,UK1012,United Kingdom
536397,84029E,RED WOOLLY HOTTIE WHITE HEART,35,06-08-2011 15:00,3.39,UK1012,United Kingdom
536397,22632,HAND WARMER RED POLKA DOT,36,06-08-2011 15:00,1.85,UK1012,United Kingdom
536397,71053,WHITE METAL LANTERN,18,06-08-2011 15:00,3.39,UK1012,United Kingdom
536398,21730,GLASS STAR FROSTED T-LIGHT HOLDER,37,09/27/2011 09:00,4.25,UK1012,United Kingdom
536398,21754,HOME BUILDING BLOCK WORD,28,09/27/2011 09:00,5.95,UK1012,United Kingdom
536398,47566,PARTY BUNTING,28,09/27/2011 09:00,4.95,UK1012,United Kingdom
536398,22633,HAND WARMER UNION JACK,34,09/27/2011 09:00,1.85,UK1012,United Kingdom
536399,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,03/23/2011 15:00,3.75,UK1022,United Kingdom
536399,20725,LUNCH BAG RED RETROSPOT,16,03/23/2011 15:00,1.65,UK1022,United Kingdom
536400,85123A,WHITE HANGING HEART T-LIGHT HOLDER,21,02-10-2011 14:00,2.55,UK1013,United Kingdom
536401,22423,REGENCY CAKESTAND 3 TIER,19,01/19/2011 08:00,12.75,UK1035,United Kingdom
536401,47566,PARTY BUNTING,12,01/19/2011 08:00,4.95,UK1035,United Kingdom
536402,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,10,03-02-2011 12:00,3.75,UK1019,United Kingdom
536402,22632,HAND WARMER RED POLKA DOT,30,03-02-2011 12:00,1.85,UK1019,United Kingdom
536402,85123A,WHITE HANGING HEART T-LIGHT HOLDER,15,03-02-2011 12:00,2.55,UK1019,United Kingdom
536403,21730,GLASS STAR FROSTED T-LIGHT HOLDER,32,04/27/2011 16:00,4.25,UK1026,United Kingdom
536403,22632,HAND WARMER RED POLKA DOT,3,04/27/2011 16:00,1.85,UK1026,United Kingdom
536403,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,19,04/27/2011 16:00,3.75,UK1026,United Kingdom
536403,20725,LUNCH BAG RED RETROSPOT,9,04/27/2011 16:00,1.65,UK1026,United Kingdom
536404,22633,HAND WARMER UNION JACK,23,02/27/2011 10:00,1.85,UK1030,United Kingdom
536405,22752,SET 7 BABUSHKA NESTING BOXES,7,01-12-2011 15:00,7.65,UK1035,United Kingdom
536405,84029E,RED WOOLLY HOTTIE WHITE HEART,33,01-12-2011 15:00,3.39,UK1035,United Kingdom
536405,20725,LUNCH BAG RED RETROSPOT,7,01-12-2011 15:00,1.65,UK1035,United Kingdom
536405,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,38,01-12-2011 15:00,3.75,UK1035,United Kingdom
536405,21730,GLASS STAR FROSTED T-LIGHT HOLDER,21,01-12-2011 15:00,4.25,UK1035,United Kingdom
536406,21730,GLASS STAR FROSTED T-LIGHT HOLDER,9,04/19/2011 14:00,4.25,UK1005,United Kingdom
536406,84406B,CREAM CUPID HEARTS COAT HANGER,1,04/19/2011 14:00,2.75,UK1005,United Kingdom
536407,71053,WHITE METAL LANTERN,30,02/17/2011 13:00,3.39,UK1010,United Kingdom
536408,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,04/16/2011 18:00,2.55,UK1027,United Kingdom
536408,20725,LUNCH BAG RED RETROSPOT,9,04/16/2011 18:00,1.65,UK1027,United Kingdom
536408,84406B,CREAM CUPID HEARTS COAT HANGER,3,04/16/2011 18:00,2.75,UK1027,United Kingdom
536408,71053,WHITE METAL LANTERN,23,04/16/2011 18:00,3.39,UK1027,United Kingdom
536409,21754,HOME BUILDING BLOCK WORD,10,04/19/2011 11:00,5.95,UK1028,United Kingdom
536409,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,04/19/2011 11:00,4.25,UK1028,United Kingdom
536410,22752,SET 7 BABUSHKA NESTING BOXES,5,06-02-2011 13:00,7.65,UK1000,United Kingdom
536410,21754,HOME BUILDING BLOCK WORD,8,06-02-2011 13:00,5.95,UK1000,United Kingdom
536410,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,16,06-02-2011 13:00,3.75,UK1000,United Kingdom
536410,85123A,WHITE HANGING HEART T-LIGHT HOLDER,19,06-02-2011 13:00,2.55,UK1000,United Kingdom
536411,21754,HOME BUILDING BLOCK WORD,35,03-09-2011 16:00,5.95,UK1015,United Kingdom
536412,22752,SET 7 BABUSHKA NESTING BOXES,3,08-07-2011 16:00,7.65,UK1016,United Kingdom
536412,21212,PACK OF 72 RETROSPOT CAKE CASES,39,08-07-2011 16:00,0.55,UK1016,United Kingdom
536412,84406B,CREAM CUPID HEARTS COAT HANGER,19,08-07-2011 16:00,2.75,UK1016,United Kingdom
536413,22632,HAND WARMER RED POLKA DOT,6,06/13/2011 08:00,1.85,UK1022,United Kingdom
536413,21754,HOME BUILDING BLOCK WORD,25,06/13/2011 08:00,5.95,UK1022,United Kingdom
536413,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,06/13/2011 08:00,2.55,UK1022,United Kingdom
536414,22423,REGENCY CAKESTAND 3 TIER,35,06/19/2011 15:00,12.75,UK1039,United Kingdom
536415,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,23,07/27/2011 18:00,3.75,UK1012,United Kingdom
536416,22632,HAND WARMER RED POLKA DOT,11,09-07-2011 12:00,1.85,UK1027,United Kingdom
536416,84406B,CREAM CUPID HEARTS COAT HANGER,13,09-07-2011 12:00,2.75,UK1027,United Kingdom
536416,21730,GLASS STAR FROSTED T-LIGHT HOLDER,24,09-07-2011 12:00,4.25,UK1027,United Kingdom
536416,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,09-07-2011 12:00,2.55,UK1027,United Kingdom
536416,84029E,RED WOOLLY HOTTIE WHITE HEART,7,09-07-2011 12:00,3.39,UK1027,United Kingdom
536417,20725,LUNCH BAG RED RETROSPOT,24,02/24/2011 12:00,1.65,UK1008,United Kingdom
536418,84029E,RED WOOLLY HOTTIE WHITE HEART,17,05/14/2011 13:00,3.39,UK1003,United Kingdom
536418,21730,GLASS STAR FROSTED T-LIGHT HOLDER,34,05/14/2011 13:00,4.25,UK1003,United Kingdom
536419,71053,WHITE METAL LANTERN,16,03-06-2011 18:00,3.39,UK1035,United Kingdom
536419,22752,SET 7 BABUSHKA NESTING BOXES,1,03-06-2011 18:00,7.65,UK1035,United Kingdom
536419,84029E,RED WOOLLY HOTTIE WHITE HEART,6,03-06-2011 18:00,3.39,UK1035,United Kingdom
536419,21212,PACK OF 72 RETROSPOT CAKE CASES,8,03-06-2011 18:00,0.55,UK1035,United Kingdom
536419,22423,REGENCY CAKESTAND 3 TIER,40,03-06-2011 18:00,12.75,UK1035,United Kingdom
536420,21212,PACK OF 72 RETROSPOT CAKE CASES,27,08/17/2011 14:00,0.55,UK1006,United Kingdom
536420,84406B,CREAM CUPID HEARTS COAT HANGER,14,08/17/2011 14:00,2.75,UK1006,United Kingdom
536420,47566,PARTY BUNTING,16,08/17/2011 14:00,4.95,UK1006,United Kingdom
536421,84406B,CREAM CUPID HEARTS COAT HANGER,27,08-05-2011 10:00,2.75,UK1000,United Kingdom
536422,47566,PARTY BUNTING,601,07/22/2011 12:00,4.95,UK1010,United Kingdom
536423,22423,REGENCY CAKESTAND 3 TIER,22,10/22/2011 08:00,12.75,UK1017,United Kingdom
536423,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,2,10/22/2011 08:00,3.75,UK1017,United Kingdom
536423,84029E,RED WOOLLY HOTTIE WHITE HEART,10,10/22/2011 08:00,3.39,UK1017,United Kingdom
536423,21754,HOME BUILDING BLOCK WORD,20,10/22/2011 08:00,5.95,UK1017,United Kingdom
536423,84879,ASSORTED COLOUR BIRD ORNAMENT,19,10/22/2011 08:00,1.69,UK1017,United Kingdom
536424,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,08-10-2011 11:00,2.55,UK1012,United Kingdom
536424,21730,GLASS STAR FROSTED T-LIGHT HOLDER,36,08-10-2011 11:00,4.25,UK1012,United Kingdom
536424,71053,WHITE METAL LANTERN,15,08-10-2011 11:00,3.39,UK1012,United Kingdom
536424,84406B,CREAM CUPID HEARTS COAT HANGER,5,08-10-2011 11:00,2.75,UK1012,United Kingdom
536425,84879,ASSORTED COLOUR BIRD ORNAMENT,24,10/27/2011 11:00,1.69,UK1028,United Kingdom
536425,22423,REGENCY CAKESTAND 3 TIER,5,10/27/2011 11:00,12.75,UK1028,United Kingdom
536425,21730,GLASS STAR FROSTED T-LIGHT HOLDER,14,10/27/2011 11:00,4.25,UK1028,United Kingdom
536425,47566,PARTY BUNTING,6,10/27/2011 11:00,4.95,UK1028,United Kingdom
536426,22423,REGENCY CAKESTAND 3 TIER,10,01/25/2011 16:00,12.75,UK1028,United Kingdom
536426,85123A,WHITE HANGING HEART T-LIGHT HOLDER,34,01/25/2011 16:00,2.55,UK1028,United Kingdom
536426,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,7,01/25/2011 16:00,3.75,UK1028,United Kingdom
536427,21730,GLASS STAR FROSTED T-LIGHT HOLDER,28,08-02-2011 15:00,4.25,UK1003,United Kingdom
536427,22752,SET 7 BABUSHKA NESTING BOXES,7,08-02-2011 15:00,7.65,UK1003,United Kingdom
536427,21212,PACK OF 72 RETROSPOT CAKE CASES,6,08-02-2011 15:00,0.55,UK1003,United Kingdom
536427,84406B,CREAM CUPID HEARTS COAT HANGER,3,08-02-2011 15:00,2.75,UK1003,United Kingdom
536427,21754,HOME BUILDING BLOCK WORD,14,08-02-2011 15:00,5.95,UK1003,United Kingdom
536428,84029E,RED WOOLLY HOTTIE WHITE HEART,12,03/14/2011 18:00,3.39,UK1009,United Kingdom
536428,22752,SET 7 BABUSHKA NESTING BOXES,35,03/14/2011 18:00,7.65,UK1009,United Kingdom
536428,22632,HAND WARMER RED POLKA DOT,34,03/14/2011 18:00,1.85,UK1009,United Kingdom
536428,21730,GLASS STAR FROSTED T-LIGHT HOLDER,36,03/14/2011 18:00,4.25,UK1009,United Kingdom
536428,20725,LUNCH BAG RED RETROSPOT,6,03/14/2011 18:00,1.65,UK1009,United Kingdom
536429,22632,HAND WARMER RED POLKA DOT,39,10/28/2011 17:00,1.85,UK1000,United Kingdom
536429,21754,HOME BUILDING BLOCK WORD,7,10/28/2011 17:00,5.95,UK1000,United Kingdom
536430,22633,HAND WARMER UNION JACK,19,05-10-2011 18:00,1.85,UK1029,United Kingdom
536430,85123A,WHITE HANGING HEART T-LIGHT HOLDER,35,05-10-2011 18:00,2.55,UK1029,United Kingdom
536430,22752,SET 7 BABUSHKA NESTING BOXES,37,05-10-2011 18:00,7.65,UK1029,United Kingdom
536430,84029E,RED WOOLLY HOTTIE WHITE HEART,38,05-10-2011 18:00,3.39,UK1029,United Kingdom
536430,20725,LUNCH BAG RED RETROSPOT,22,05-10-2011 18:00,1.65,UK1029,United Kingdom
536431,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,03/31/2011 08:00,2.55,UK1012,United Kingdom
536431,84879,ASSORTED COLOUR BIRD ORNAMENT,27,03/31/2011 08:00,1.69,UK1012,United Kingdom
536431,71053,WHITE METAL LANTERN,12,03/31/2011 08:00,3.39,UK1012,United Kingdom
536432,21730,GLASS STAR FROSTED T-LIGHT HOLDER,32,02-10-2011 11:00,4.25,UK1006,United Kingdom
536432,84406B,CREAM CUPID HEARTS COAT HANGER,34,02-10-2011 11:00,2.75,UK1006,United Kingdom
536432,22632,HAND WARMER RED POLKA DOT,15,02-10-2011 11:00,1.85,UK1006,United Kingdom
536432,21212,PACK OF 72 RETROSPOT CAKE CASES,34,02-10-2011 11:00,0.55,UK1006,United Kingdom
536432,71053,WHITE METAL LANTERN,32,02-10-2011 11:00,3.39,UK1006,United Kingdom
536433,21754,HOME BUILDING BLOCK WORD,31,06/14/2011 17:00,5.95,UK1021,United Kingdom
536433,20725,LUNCH BAG RED RETROSPOT,12,06/14/2011 17:00,1.65,UK1021,United Kingdom
536433,21212,PACK OF 72 RETROSPOT CAKE CASES,16,06/14/2011 17:00,0.55,UK1021,United Kingdom
536433,84029E,RED WOOLLY HOTTIE WHITE HEART,7,06/14/2011 17:00,3.39,UK1021,United Kingdom
536434,20725,LUNCH BAG RED RETROSPOT,11,09/25/2011 10:00,1.65,UK1003,United Kingdom
536434,85123A,WHITE HANGING HEART T-LIGHT HOLDER,26,09/25/2011 10:00,2.55,UK1003,United Kingdom
536434,84406B,CREAM CUPID HEARTS COAT HANGER,12,09/25/2011 10:00,2.75,UK1003,United Kingdom
536435,21754,HOME BUILDING BLOCK WORD,1,05-11-2011 16:00,5.95,UK1035,United Kingdom
536435,22633,HAND WARMER UNION JACK,31,05-11-2011 16:00,1.85,UK1035,United Kingdom
536436,21212,PACK OF 72 RETROSPOT CAKE CASES,31,05/25/2011 13:00,0.55,UK1009,United Kingdom
536436,22633,HAND WARMER UNION JACK,26,05/25/2011 13:00,1.85,UK1009,United Kingdom
536436,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,21,05/25/2011 13:00,3.75,UK1009,United Kingdom
536436,71053,WHITE METAL LANTERN,4,05/25/2011 13:00,3.39,UK1009,United Kingdom
536436,21730,GLASS STAR FROSTED T-LIGHT HOLDER,28,05/25/2011 13:00,4.25,UK1009,United Kingdom
536437,22633,HAND WARMER UNION JACK,23,02/18/2011 13:00,1.85,UK1026,United Kingdom
536437,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,02/18/2011 13:00,2.55,UK1026,United Kingdom
536437,71053,WHITE METAL LANTERN,21,02/18/2011 13:00,3.39,UK1026,United Kingdom
536437,47566,PARTY BUNTING,16,02/18/2011 13:00,4.95,UK1026,United Kingdom
536438,22423,REGENCY CAKESTAND 3 TIER,29,10/18/2011 15:00,12.75,UK1035,United Kingdom
536438,22752,SET 7 BABUSHKA NESTING BOXES,13,10/18/2011 15:00,7.65,UK1035,United Kingdom
536438,21212,PACK OF 72 RETROSPOT CAKE CASES,31,10/18/2011 15:00,0.55,UK1035,United Kingdom
536438,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,28,10/18/2011 15:00,3.75,UK1035,United Kingdom
536438,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,10/18/2011 15:00,2.55,UK1035,United Kingdom
536439,22632,HAND WARMER RED POLKA DOT,14,03-09-2011 12:00,1.85,UK1022,United Kingdom
536439,84029E,RED WOOLLY HOTTIE WHITE HEART,4,03-09-2011 12:00,3.39,UK1022,United Kingdom
536439,21212,PACK OF 72 RETROSPOT CAKE CASES,8,03-09-2011 12:00,0.55,UK1022,United Kingdom
536440,84879,ASSORTED COLOUR BIRD ORNAMENT,27,03-10-2011 16:00,1.69,UK1035,United Kingdom
536441,84406B,CREAM CUPID HEARTS COAT HANGER,27,09/16/2011 09:00,2.75,UK1025,United Kingdom
536441,22752,SET 7 BABUSHKA NESTING BOXES,32,09/16/2011 09:00,7.65,UK1025,United Kingdom
536442,22632,HAND WARMER RED POLKA DOT,6,07/25/2011 09:00,1.85,UK1007,United Kingdom
536442,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,07/25/2011 09:00,4.25,UK1007,United Kingdom
536442,71053,WHITE METAL LANTERN,24,07/25/2011 09:00,3.39,UK1007,United Kingdom
536443,21730,GLASS STAR FROSTED T-LIGHT HOLDER,29,04-11-2011 09:00,4.25,UK1011,United Kingdom
536444,85123A,WHITE HANGING HEART T-LIGHT HOLDER,22,08/21/2011 08:00,2.55,UK1027,United Kingdom
536444,71053,WHITE METAL LANTERN,24,08/21/2011 08:00,3.39,UK1027,United Kingdom
536444,84029E,RED WOOLLY HOTTIE WHITE HEART,23,08/21/2011 08:00,3.39,UK1027,United Kingdom
536444,22632,HAND WARMER RED POLKA DOT,5,08/21/2011 08:00,1.85,UK1027,United Kingdom
536445,22633,HAND WARMER UNION JACK,21,04-08-2011 09:00,1.85,UK1021,United Kingdom
536446,22423,REGENCY CAKESTAND 3 TIER,31,04/18/2011 12:00,12.75,UK1002,United Kingdom
536446,84029E,RED WOOLLY HOTTIE WHITE HEART,24,04/18/2011 12:00,3.39,UK1002,United Kingdom
536446,84406B,CREAM CUPID HEARTS COAT HANGER,15,04/18/2011 12:00,2.75,UK1002,United Kingdom
536447,47566,PARTY BUNTING,31,01/21/2011 17:00,4.95,UK1034,United Kingdom
536447,84406B,CREAM CUPID HEARTS COAT HANGER,36,01/21/2011 17:00,2.75,UK1034,United Kingdom
536447,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,15,01/21/2011 17:00,3.75,UK1034,United Kingdom
536447,22752,SET 7 BABUSHKA NESTING BOXES,20,01/21/2011 17:00,7.65,UK1034,United Kingdom
536448,21754,HOME BUILDING BLOCK WORD,18,04/14/2011 15:00,5.95,UK1010,United Kingdom
536448,22752,SET 7 BABUSHKA NESTING BOXES,28,04/14/2011 15:00,7.65,UK1010,United Kingdom
536448,22633,HAND WARMER UNION JACK,19,04/14/2011 15:00,1.85,UK1010,United Kingdom
536448,21212,PACK OF 72 RETROSPOT CAKE CASES,6,04/14/2011 15:00,0.55,UK1010,United Kingdom
536449,47566,PARTY BUNTING,9,08/30/2011 09:00,4.95,UK1025,United Kingdom
536449,22752,SET 7 BABUSHKA NESTING BOXES,15,08/30/2011 09:00,7.65,UK1025,United Kingdom
536449,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,08/30/2011 09:00,4.25,UK1025,United Kingdom
536449,84879,ASSORTED COLOUR BIRD ORNAMENT,11,08/30/2011 09:00,1.69,UK1025,United Kingdom
